nct_id,brief_title,sponsor,start_date,primary_outcomes,start_year,period,outcome_categories,num_categories
NCT03786497,Protecting Brains and Saving Futures - the PBSF Protocol,Protecting Brains Saving Futures,2021-01-01,"Applicability of telemedicine model for monitored infants | Applicability of telemedicine model for recorded remote monitoring | Use of aEEG/EEG monitoring | Duration of aEEG/EEG monitoring | Number primary neurologic or medical patients with aEEG or EEG monitoring and the duration of the monitoring (hours) | Number of primary neurologic or medical patients with NIRS monitoring and the duration of the NIRS monitoring (hours) | Number of primary neurologic or medical patients with brain MRI, neurology consult, and neurosurgery consult. | Number of clinical case discussions and videoconference meetings | Length of hospital stay | Number of electroencephalographic seizures during hospitalization | Use and types of anticonvulsants administered | Number and types of anticonvulsants prescribed at discharge | Use and types of inotropes administered during NICU stay | Use and types of fluid resuscitation administered during NICU stay | Death before hospital discharge | Number of patients referred to neurology or neurosurgery | Number of patients referred to high-risk infant follow-up",2021,2020-2025,Length of stay; Mortality; Fluid management; Vasopressor / inotrope use,4
NCT06238180,Personalised Real-time Interoperable Sepsis Monitoring (PRISM),Aisthesis Medical P.C.,2023-11-29,Accuracy of AI-Driven Sepsis Prediction in Postoperative Period,2023,2020-2025,Postoperative complications,1
NCT05564741,Acute Hip Fracture and Spinal Anaesthesia Injection Time,Sahlgrenska University Hospital,2022-10-20,Mean arterial pressure (MAP),2022,2020-2025,Hypotension exposure,1
NCT05481723,Lung Ultrasound-guided Hemodynamic Optimization,"Centre Hospitalier Universitaire, Amiens",2022-07-28,Number of Postoperative Organ failure,2022,2020-2025,,0
NCT04269226,Effect of Automatic Recruitment Maneuver on Peroperative Lung Mechanics of Obese Laparoscopic Abdominal Surgery Patients,Bakirkoy Dr. Sadi Konuk Research and Training Hospital,2019-04-09,Peak airway pressure | Plateau airway pressure | Driver airway pressure | Static airway compliance | Dynamic airway compliance | End tidal CO2 pressure,2019,2015-2019,,0
NCT07568873,Melatonin vs Metoprolol or Dexmedetomidine to Improve Surgical Field in FESS,Zagazig University,2024-01-25,Assessment of change in the mean arterial pressure measured in mmHg. | Assessment of heart rate measured in beats/minute,2024,2020-2025,Hypotension exposure; Cardiac outcomes,2
NCT07081672,Impact of Interscalene Block Combined With General Anesthesia on Burst Suppression in Shoulder Surgery Patients,Bezmialem Vakif University,2025-01-29,Burst Suppression Ratio (BSR) | Power Spectral Density (PSD) Analysis | Patient State Index (PSI),2025,2020-2025,,0
NCT03245372,Goal Directed Therapy Versus Standard Care in Lung Resection Surgery (GDT-thorax Study).,Fundación Pública Andaluza para la gestión de la Investigación en Sevilla,2017-10-10,Percentage of the Intraoperative Time in Which the Cardiac Index is Equal or Superior to 2.2 l/Min/m2 (%),2017,2015-2019,Cardiac outcomes,1
NCT01703442,Intraoperative Anuric Episodes in Patients Undergoing Laparotomy,Claudia Spies,2016-08,Exact measurement of urine production,2016,2015-2019,,0
NCT06918301,"Comparison of Cardiac Index and Stroke-volume-index Measured by Pulmonary Artery Catheter, FloTrac® and Argos® in Cardiac Surgery Patients.",Karlsburg Hospital,2025-03-01,stroke volume index,2025,2020-2025,Cardiac outcomes,1
NCT06604156,Anesthesia Induction Scheme for Painless Gastrointestinal Endoscopy Patients Based on Nociceptive Stimulation Monitoring,Min Su,2024-09-01,Anesthesia quality,2024,2020-2025,,0
NCT02669407,Splanchnic Nerve Anesthesia in Heart Failure,Duke University,2017-01-01,Central Venous Pressure | Pulmonary Arterial Mean Pressure | Pulmonary Capillary Wedge Pressure,2017,2015-2019,,0
NCT06837636,"During Chest Surgery, One Lung is Isolated From Ventilation to Improve Visibility, With Carbon Dioxide Introduced Between the Lung and Chest Wall (Capnothorax): the Study Seeks to Optimize Ventilation Through Esophageal Pressure Measurement, Reducing Respiratory Complications.",Cardarelli Hospital,2025-02-20,"Evaluate the P/F ratio (PaO2/ FiO2), the driving pressure during the OLV phases in relation to the esophageal pressure.",2025,2020-2025,,0
NCT05508971,Treatment of Obstructive Sleep Apnea With Personalized Surgery in Children With Down Syndrome (TOPS-DS),Oregon Health and Science University,2023-08-02,Change from Baseline Polysomnography Measures: oAHI at 6 months | Change from Baseline Polysomnography Measures: AHI at 6 months | Change from Baseline Polysomnography Measures: REM AHI at 6 months | Change from Baseline Polysomnography Measures: min SpO2 at 6 months | Change from Baseline Polysomnography Measures: desat index at 6 months | Change from Baseline Polysomnography Measures: % Total Sleep Time with ETCO2 > 50 mmHg at 6 months | Change from Baseline Polysomnography Measures: Max End Tidal CO2 (ETCO2) at 6 months,2023,2020-2025,,0
NCT02978430,Implementation of Computer-Assisted Intraoperative Goal-Directed Fluid Therapy,Erasme University Hospital,2015-04,Perioperative fluid administration,2015,2015-2019,Fluid management,1
NCT04020172,Improving Tissue Oxygenation in Breast Reconstruction Surgery,"Dr. Glenio Mizubuti (MD, PhD)",2019-07-12,Tissue Flap Oxygenation,2019,2015-2019,,0
NCT02845310,The Effect of Intraoperative Goal Directed Restricted Fluid Therapy on Extravascular Lung Water,Cairo University,2016-09,Extravascular lung water (Lung ultrasound score),2016,2015-2019,,0
NCT03166644,Individualized Goal-directed Sufentanil Administration Versus Standard Therapy in Patients Undergoing Major Abdominal Surgery,"University Hospital, Clermont-Ferrand",2017-07-04,Total dose of sufentanil administered during major abdominal surgery,2017,2015-2019,,0
NCT06133257,Goal-Directed Fluid Therapy in Patients Undergoing Lower Limb Surgeries,Zagazig University,2023-12-01,Mean Arterial Blood Pressure | Quality of Recovery-40 score(QoR-40) | Heart Rate | Post Anesthesia Care Unit(PACU) Stay,2023,2020-2025,Hypotension exposure; Cardiac outcomes,2
NCT03164811,GDFT Based on PPV Compared With Standard Fluid Therapy in Patients Undergoing Complex Spine Surgery: RCT,Mahidol University,2017-04-11,episode of intraoperative hypotension,2017,2015-2019,Hypotension exposure,1
NCT05916599,Ultrasound in Evaluation of Preoperative Fluid Management of Hip Fracture Surgery Patients,Gaziosmanpasa Research and Education Hospital,2023-01-03,comparison of groups for change of vena cava inferior collapsibility index in 4 time frames,2023,2020-2025,,0
NCT05239286,Conventional Fluid Management vs Plethysmographic Variability Index -Based Goal Directed Fluid Management,Cairo University,2022-01-24,The total intraoperative crystalloid consumption,2022,2020-2025,,0
NCT02352883,MRI and Gene Expression in Diagnosing Patients With Ductal Breast Cancer In Situ,ECOG-ACRIN Cancer Research Group,2015-03-25,Proportion of patients judged to be breast conservation candidates based upon standard imaging and physical examination who convert to mastectomy in step 1 based on MRI findings | Proportion of patients judged to be breast conservation candidates based upon standard imaging and physical examination who have a mastectomy as the final surgical procedure in step 2,2015,2015-2019,,0
NCT03420261,Hemostasis Evolution During Fluid Loading in Abdominal Surgery. Effects of Fluid Choice: Saline Versus Hydroxyethyl Starch (HAEMO Study),"University Hospital, Clermont-Ferrand",2017-08-01,Prothombin Time | Activated Cephalin TimeF | Fibrinogen level and activity | Von Willebrand factor | Coagulation cascade | Thrombin Generation test | Fibrin Clot Permeability Test,2017,2015-2019,,0
NCT05876975,Vaginal Axis on Magnetic Resonance Imaging After Laparoscopic Pectopexy Surgery: a Controlled Study,Prof. Dr. Cemil Tascıoglu Education and Research Hospital Organization,2023-01-04,Anatomic Success,2023,2020-2025,,0
NCT04201730,Study on the Efficacy and Safety of Enhanced Recovery After Surgery （ERAS）in Gastrointestinal Cancer,Huashan Hospital,2019-12-25,Hospitalization Days | Time of getting out of bed after operation | The time to first flatus,2019,2015-2019,,0
NCT05844774,Post Anaesthesia Care Hypotension Prevention,Radboud University Medical Center,2023-05-22,Time Weighted Average of hypotension,2023,2020-2025,Hypotension exposure,1
NCT05142163,Stroke Volume Variation and Plethysmography Variability Index as Goal Directed Fluid Therapy in Major Oncosurgeries,"Rajiv Gandhi Cancer Institute & Research Center, India",2021-11-08,To compare Total intraoperative Fluid requirement in millilitres and Fluid Responsiveness in SVV and PVI Group.,2021,2020-2025,Fluid management; Goal-directed therapy protocol,2
NCT05487924,Stroke Volume Variation- Guided Hemodynamic Therapy Versus Oxygen Extraction Ratio-guided Hemodynamic Therapy,Beijing Tongren Hospital,2023-12-30,postoperative complication,2023,2020-2025,Postoperative complications,1
NCT03469440,Goal Directed Therapy Aiming to Optimise Oxygen Central Venous Saturation in Children Undergoing Cardiac Surgery,Instituto do Coracao,2018-02-01,Lactate clearance,2018,2015-2019,Lactate / tissue perfusion,1
NCT06144164,A Study of a Comprehensive Prevention Program to Reduce Lymphedema After Axillary Lymph Node Dissection in People With Breast Cancer,Memorial Sloan Kettering Cancer Center,2023-11-16,The difference between the baseline and postoperative arm volume measurement,2023,2020-2025,,0
NCT06468852,GDFT on the Postoperative Outcome in Head and Neck Cancer Surgery,Beijing Tongren Hospital,2024-05-16,Serious complications occurred within 30 days after surgery,2024,2020-2025,Postoperative complications,1
NCT05698576,TRANBERG® Transperineal MR/US Fusion Laser--Induced Thermal Therapy for Men With Prostate Cancer,"Urological Research Network, LLC",2022-03-16,Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability] of TRANBERG® TPF-LITT performed in the office setting under local anesthesia.,2022,2020-2025,Postoperative complications,1
NCT02841046,The Effect of Goal-directed Therapy Guided by Stroke Volume Variation and Cardiac Index in Non-severe Surgical Patients,"First Affiliated Hospital, Sun Yat-Sen University",2016-07-27,Number of Days Needed for Anal Exsufflation After Surgery,2016,2015-2019,,0
NCT03339895,Comparison of PVI-guided Fluid Management With Traditional Fluid Management in Colorectal Surgery,Kocaeli University,2016-01-01,FLUID MANAGEMENT,2016,2015-2019,,0
NCT06647719,Postoperative Care After Carpal Tunnel Release Using Short Educational Videos,Carilion Clinic,2022-06-01,Patient-Reported Outcome Measurement Information System (PROMIS) / Upper Extremity Computer Adaptive Test (UE CAT) / 5-Point Likert Scale,2022,2020-2025,,0
NCT04338984,Nociception-directed Erector Muscle Spinae Plane Block in Open Heart Surgery,Institutul de Urgenţă pentru Boli Cardiovasculare Prof.Dr. C.C. Iliescu,2019-12-01,Intraoperative fentanyl consumption (µg/kg/h),2019,2015-2019,,0
NCT03799250,Fluid Management in the Post Anesthesia Care Unit,Rabin Medical Center,2019-06-30,The rate of postoperative complications measured according to the European Perioperative Clinical Outcome definitions and Clavien-Dindo Classification in the week following the intervention,2019,2015-2019,Postoperative complications,1
NCT03719859,Home Exercise vs PT for Reverse Total Shoulder Arthroplasty,Rush University Medical Center,2019-01-22,Postoperative Pain: Numerical Rating Scale | Range of motion | Patient-reported functional outcome- American Shoulder and Elbow Surgeons Score | Patient-reported functional outcome- Single Assessment Numeric Evaluation score,2019,2015-2019,Pain,1
NCT02351934,Early Diuresis Following Colorectal Surgery,Mayo Clinic,2015-02,Length of Hospital Stay,2015,2015-2019,Length of stay,1
NCT04432025,Medication Following Bariatric Surgery for Type 2 Diabetes Mellitus,Imperial College London,2021-04-01,Proportion of patients in each group reaching the composite end point | Proportion of patients reaching end point for glycemic control,2021,2020-2025,,0
NCT04963036,Impact of Nociception Level (NOL)-Guided Remifentanil Infusion on Intraoperative Arterial Pressure and Vasopressor Necessity,Centre Hospitalier Universitaire Saint Pierre,2021-07-28,Occurrence of intraoperative hypotension | Total Vasopressor Dose | Number of interventions to cure intraoperative hypotension | Total Time under hypotension thresholds,2021,2020-2025,Hypotension exposure; Vasopressor / inotrope use,2
NCT03618082,GOAL-Directed ANalgesia (GOALDAN),"University Hospital, Clermont-Ferrand",2019-06-06,immediate maximum postoperative pain in recovery room defined by a score > 3 on a verbally administered numeric rating scale (NRS) variating from 0 to 10.,2019,2015-2019,Pain,1
NCT05939518,Fluid Therapy and Glycocalyx Shedding During Moderate Surgery,Hadassah Medical Organization,2020-05-13,Change from preoperative serum concentration of Heparan Sulfate. | Change from preoperative serum concentration of Syndecan-1. | Change from preoperative serum concentration of Hyaluronic Acid. | Change from preoperative serum concentration of Sphingosine-1-Phosphate. | Appearance of B-lines on lung ultrasonography. | Early appearance of peripheral pitting edema. | Late appearance of peripheral pitting edema. | Postoperative Morbidity Survey (POMS) Score. | Early change in the percentage of Total Body Water and Extracellular Water. | Late change in the percentage of Total Body Water and Extracellular Water.,2020,2020-2025,Postoperative complications,1
NCT06165471,"The Effectiveness of a Mobile Application for Teaching Clinical Nursing Skill at a Higher Education Institution in Chenzhou, China",Universiti Sains Malaysia,2023-12-15,The effects of surgical nursing practical online courses using Chaoxing app on the skills score | Self-directed learning ability,2023,2020-2025,,0
NCT03505112,The Effect of Goal-directed Hemodynamic Therapy in Radical Cystectomy,Seoul National University Hospital,2018-04-20,A composite of postoperative complications,2018,2015-2019,Postoperative complications,1
NCT05887531,Abdominopelvic Cancer Prehabilitation,Universitat Jaume I,2023-06-01,Post-surgical recovery time | Post-surgical readmisions,2023,2020-2025,,0
NCT03699917,Goal-directed Fluid Therapy on Complications After Pancreaticoduodenectomy,Wake Forest University Health Sciences,2015-01-01,Postoperative complications (Pancreatic leak and delayed gastric emptying),2015,2015-2019,Postoperative complications,1
NCT02382185,Non Invasive Cardiac Output Monitoring to Guide Goal Directed Fluid Therapy in High Risk Patients Undergoing Urgent Surgical Repair of Proximal Femoral Fractures,York Teaching Hospitals NHS Foundation Trust,2015-01,Composite basket of complication,2015,2015-2019,,0
NCT07191990,Measure Postoperative Pain and Bacterial Reduction After Different Final Irrigation Protocols.,Future University in Egypt,2025-07-01,Post-operative pain after each activation method in comparison to control group,2025,2020-2025,Pain,1
NCT04983498,Enhanced Recovery Pathway for Endoscopy,Northwestern University,2021-09-01,To compare recovery time stamps before and after implementing a modified ERAs for endoscopy patients in the recovery period. | To compare the incidence of postoperative nausea and vomiting before and after implementing a modified ERAs for endoscopy patients in the recovery period.,2021,2020-2025,,0
NCT04180553,Ultrasound-Guided Resuscitation in Open Aortic Surgery,London Health Sciences Centre,2020-01-15,Feasibility - Recruitment | Feasibility - Successful Randomization | Feasibility - POCUS Study completion | Feasibility - Protocol Adherence | Feasibility - Successful Data Collection | Feasibility - Contamination rate,2020,2020-2025,,0
NCT03249298,Fluid Optimization With Crystalloids and Colloids in Neurosurgery,University Medical Centre Ljubljana,2017-01,Consumption of optimisation fluid,2017,2015-2019,,0
NCT02831530,Randomized Short-term Pre-surgical Study to Assess the Effects of Abemaciclib (LY2835219) in Early Breast Cancer Patients,"Gustave Roussy, Cancer Campus, Grand Paris",2016-03-16,Anti-proliferative response,2016,2015-2019,,0
NCT07305987,PRO-232 in Patients Subjected to Cataract Surgery,Laboratorios Sophia S.A de C.V.,2025-10-27,Proportion of patients with grade 0 cellularity among interventions | Proportion of patients presenting unexpected adverse events (AE) related between interventions,2025,2020-2025,Postoperative complications,1
NCT04865874,GDT-PPV Protocol in Thoracic Surgery,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,2021-09-21,PaO2/FiO2 ratio,2021,2020-2025,,0
NCT05221788,Effect of Goal-directed Hemodynamic Therapy on Short-term Postoperative Complications in Patients With Extensive Burns,Guangzhou Red Cross Hospital,2020-01-01,Incidence of cardiac complications | Incidence of pulmonary complications | Incidence of neurological complications | Incidence of acute kidney injury | postoperative pain conditions,2020,2020-2025,Acute kidney injury; Postoperative complications; Pain,3
NCT04591249,Physical Activity Intervention for Patients Following Lumbar Spine Surgery,Vanderbilt University Medical Center,2020-10-07,Recruitment rate | Adherence rate to study protocol at 3 months after spine surgery | Adherence rate to study protocol at 6 months after spine surgery | Adherence to physical activity intervention | Number of adverse events,2020,2020-2025,Postoperative complications,1
NCT03116178,PVI Based Intraoperative Fluid Management in Head and Neck Free Flap Reconstructive Surgeries,"Rajiv Gandhi Cancer Institute & Research Center, India",2016-03,Changes in TEG waveform tracing as obtained from TEG 5000 Hemostasis analyser system,2016,2015-2019,,0
NCT06972082,Prevention and Treatment of AKI VEXUS Guided Post Cardiac Surgery,Onassis Cardiac Surgery Centre,2023-06-29,Renal function,2023,2020-2025,,0
NCT02961140,Different Anesthetic Managements of Esophageal Resection and Reconstruction,National Taiwan University Hospital,2016-11,Incidence of postoperative complication,2016,2015-2019,Postoperative complications,1
NCT05824260,Risk Factors for Postoperative Complications in Major Non-cardiac Surgery: Post-hoc Analysis of the OPHIQUE Multicentre Study,"Centre Hospitalier Universitaire, Amiens",2022-06-23,NUmber of risk factors associated with postoperative morbidity in major non-cardiac surgery | Number of risk factors associated with postoperative mortality in major non-cardiac surgery,2022,2020-2025,Mortality; Postoperative complications,2
NCT04792242,Effect of PCO2 Gap Algorithm Application on Outcome of High Risk Surgical Patients Undergoing Major Abdominal Surgeries,South Valley University,2019-11-10,Post operative mortality,2019,2015-2019,Mortality,1
NCT05576766,Enhanced Recovery After Surgery (ERAS) Pathway in Patients Undergoing Robot-Assisted Laparoscopic Radical Prostatectomy,Peking University First Hospital,2025-09,The time required for the PADS score to meet the standard.,2025,2020-2025,,0
NCT03549624,Standardized Perioperative Management of Patients Operated With Acute Abdominal Surgery in a High-risk Emergency Setting,Sahlgrenska University Hospital,2018-02-26,Short term mortality,2018,2015-2019,Mortality,1
NCT02502773,Fluid Loading in Abdominal Surgery: Saline Versus Hydroxyethyl Starch (FLASH Study),"University Hospital, Clermont-Ferrand",2016-02,Renal dysfunction | Pulmonary complication | Cardiovascular complication | Infectious complication | Surgical complication,2016,2015-2019,,0
NCT04921540,Ingrown Toenails : Surgery Only Versus Surgery + Chemical Cauterization With TCA,"University Hospital, Caen",2020-09-01,Relapses,2020,2020-2025,,0
NCT06258837,Treatment of Obstructive Sleep Apnea With Personalized Surgery in Children With Small Tonsils,Oregon Health and Science University,2024-10-04,Change from Baseline Polysomnography Measures: Obstructive Apnea-Hypopnea Index (oAHI) at 6 months | Change from Baseline Polysomnography Measures: Total Apnea-Hypopnea Index (AHI) at 6 months | Change from Baseline Polysomnography Measures: REM Apnea-Hypopnea Index (REM AHI) at 6 months | Change from Baseline Polysomnography Measures: minimum Oxygen saturation (SpO2) at 6 months | Change from Baseline Polysomnography Measures: Oxyhemoglobin desaturation ≥ 3% Index (desat index) at 6 months | Change from Baseline Polysomnography Measures: Percent Total Sleep Time with ETCO2 > 50 mmHg at 6 months | Change from Baseline Polysomnography Measures: Max End Tidal CO2 (ETCO2) at 6 months,2024,2020-2025,Blood loss / transfusion,1
NCT03779373,Assisted Fluid Management in Patients Undergoing Major Abdominal and Orthopedic Surgery,Erasme University Hospital,2019-04-01,composite criteria of minor postoperative complications,2019,2015-2019,Postoperative complications,1
NCT05704387,Restrictive- vs Individualized Goal Directed Fluid Therapy in Liver Surgery,Assistance Publique - Hôpitaux de Paris,2022-12-27,Lactate level at the end of the surgery,2022,2020-2025,Lactate / tissue perfusion,1
NCT06292936,RemI for Post-Bariatric Surgery Weight Regain,Temple University,2024-04-15,Weight,2024,2020-2025,,0
NCT04855318,Fluid Replacement in Bariatric Surgery,Marmara University,2021-01-10,Fluid therapy in bariatric patients,2021,2020-2025,Fluid management,1
NCT03965468,"Immunotherapy, Chemotherapy, Radiotherapy and Surgery for Synchronous Oligo-metastatic NSCLC",ETOP IBCSG Partners Foundation,2019-11-19,Progression-free survival at 12 months,2019,2015-2019,Mortality,1
NCT05560815,Epidemiology of Perioperative Care in Sweden,Linkoeping University,2022-01-01,30-day mortality | 90-day mortality | One-year mortality | Two-year mortality | Survival at longest follow-up,2022,2020-2025,Mortality,1
NCT07556614,Preoperative Supra-inguinal Fascia Iliaca Block for Positioning Analgesia in Hip Fracture Patients Undergoing Spinal Anesthesia,Ghurki Trust and Teaching Hospital,2025-06-01,Visual Analogue Scale,2025,2020-2025,,0
NCT03940144,Effect of SVV-guided Fluid Therapy on Outcomes After Major Abdominal Surgery,Beijing Tongren Hospital,2019-05-15,Length of hospital stay | GI function,2019,2015-2019,Length of stay,1
NCT06144099,Prothrombin Complex Concentrate vs Fresh Frozen Plasma in Goal-directed Bleeding Management in Non-cardiac Surgery,Konkuk University Medical Center,2024-03-01,duration from the time diagnosing r-time prolongation to the time achieving bleeding control,2024,2020-2025,Blood loss / transfusion,1
NCT04543838,IMMPRES: Intraoperative Monitoring & Management to Reduce Stroke,Parthasarathy Thirumala,2021-04-20,"Proportion of Patients With a New Clinical Stroke, New Overt Stroke, and Death",2021,2020-2025,Mortality,1
NCT04324580,Postoperative Immobilization and Physical Therapy Following Volar Locked Plating for Distal Radius Fractures,NYU Langone Health,2020-06-18,Percentage of Loss of fixation,2020,2020-2025,Length of stay,1
NCT03936764,Effect of Two Different Preoperative Training Densities in Patients With Non-small-cell Lung Cancer Before Lung Resection Surgery,ADIR Association,2019-05-07,peak dioxyen consumption (VO2peak) | peak dioxyen consumption (VO2peak),2019,2015-2019,,0
NCT03621696,"Surgery Followed by Risk-Directed Post-Operative Adjuvant Therapy for HPV-Related Oropharynx Squamous Cell Carcinoma: ""The Minimalist Trial (MINT)""",Washington University School of Medicine,2018-10-23,Mean Percent Weight Change,2018,2015-2019,,0
NCT04687826,Perioperative Fluid Therapy in Patients Undergoing Pancreaticoduodenectomy,Helsinki University Central Hospital,2015-01-01,Intraoperative fluid volume | Postoperative complications (Clavien-Dindo classification),2015,2015-2019,Postoperative complications; Fluid management,2
NCT06080178,Goal-directed Fluid Therapy During Deep Inferior Epigastric Perforator (DIEP) Free Flap Breast Reconstruction,Algemeen Ziekenhuis Maria Middelares,2023-11-23,Total intraoperative fluid volume,2023,2020-2025,Fluid management,1
NCT06144112,Fibrinogen Concentrates Versus Cryoprecipitate in Liver Transplant Surgery,Konkuk University Medical Center,2025-09-01,intergroup difference in the treatment time (T-time),2025,2020-2025,,0
NCT05490147,Effect of Low Tidal Ventilation on Intraoperative Bleeding in Laparoscopic Major Hepatectomy,Seoul National University Hospital,2022-08-08,Intraoperative blood loss,2022,2020-2025,Length of stay; Blood loss / transfusion,2
NCT03831178,Docosahexaenoic Acid (DHA) for Women With Breast Cancer in the Neoadjuvant Setting,AHS Cancer Control Alberta,2019-08-28,Percent change in Ki67 index from baseline to surgical excision.,2019,2015-2019,,0
NCT03518463,Enhanced Recovery After Surgery for Emergency Caesarean Deliveries,Mbarara University of Science and Technology,2017-06-20,Length of hospital stay,2017,2015-2019,Length of stay,1
NCT02629250,Supernormal Oxygen Delivery for Elderly Surgical Patients,Guangzhou First People's Hospital,2015-12,Change from baseline in concentration of troponin T at 24 hours postoperatively,2015,2015-2019,,0
NCT06026475,Role of Goal Directed Fluid Therapy in Enhanced Recovery After Surgery in Gastro-intestinal Oncosurgeries,"Rajiv Gandhi Cancer Institute & Research Center, India",2023-07-13,Duration of ICU stay | Postoperative serum Lactate levels mmol/L,2023,2020-2025,Length of stay; Lactate / tissue perfusion,2
NCT06011187,Assisted Fluid Management (AFM) System and Postoperative Outcome After High-risk Abdominal Surgery,Assistance Publique - Hôpitaux de Paris,2024-02-01,"Composite endpoint (""any event versus none"") of major postoperative complications within 30 days after surgery",2024,2020-2025,Postoperative complications,1
NCT03140540,TEE as a Guide for Fluid Optimization in Major Abdominal Oncosurgery,"Rajiv Gandhi Cancer Institute & Research Center, India",2019-02-16,Postoperative complications,2019,2015-2019,Postoperative complications,1
NCT03213574,Impact of GDT in Robot-assisted Laparoscopic Urological Surgery for Low to Moderate Risk Patients,Loma Linda University,2017-12,Postoperative ileus,2017,2015-2019,Postoperative complications,1
NCT06797713,Effect of Targeted Fluid Therapy on Postoperative Cognitive Dysfunction.,TC Erciyes University,2025-07-01,Postoperative cognitive disfunction,2025,2020-2025,Delirium / cognitive,1
NCT03064880,Preoperative Goal-directed Fluid Therapy and Physiological Changes Following One-lung Ventilation,National Taiwan University Hospital,2017-03-15,Clinical outcomes (postoperative) | intraoperative physiological changes and managements,2017,2015-2019,,0
NCT04308525,Optimising Microsurgical Reconstruction After Advanced Head and Neck Cancers,"Rigshospitalet, Denmark",2019-06-01,Length of stay (LOS),2019,2015-2019,Length of stay,1
NCT03169998,Effect of Goal-directed Fluid Therapy on Postoperative Complications,Seoul National University Bundang Hospital,2017-01-01,Pulmonary complication | Wound complication | Acute kidney injury | Delirium | Deep vein thrombosis | Myocardiac infarction | Stroke | Sepsis | Urinary tract infection | Death,2017,2015-2019,Mortality; Acute kidney injury; Postoperative complications; Delirium / cognitive,4
NCT03303677,Comparison of Topical Therapies in Post op Endoscopic Sinus Surgery Patients,University of Florida,2018-04-01,Change in symptom scores on Sino-nasal Outcome Test (SNOT)-22 surveys | Change in symptom scores on Rhinosinusitis Disability Index (RSDI) | Nasal endoscopy findings,2018,2015-2019,,0
NCT02834377,Personalized Hemodynamic Therapy in Patients Undergoing High-risk Surgery,Universitätsklinikum Hamburg-Eppendorf,2016-05-19,Number of study participants with at least one complication of a composite of 30-day postinterventional complications,2016,2015-2019,Postoperative complications,1
NCT04092608,Restrictive vs Goal Directed Fluid Therapy During Hepatobiliary Surgery,Erasme University Hospital,2019-09-04,Urethral Perfusion index,2019,2015-2019,Lactate / tissue perfusion,1
NCT03012919,Evaluation of an Active Decision Support System for Hemodynamic Optimization During High Risk Vascular Surgery,Medical University of Vienna,2015-02,number of interventions done according to the active decision support system (GDT protocol) | duration of use of active decision support system,2015,2015-2019,Goal-directed therapy protocol,1
NCT07466082,Impact of Pleth Variability Index-Guided Acute Normovolemic Hemodilution on Intraoperative Fluid Management and Postoperative Complications in Cardiac Surgery,Bursa City Hospital,2025-11-01,Fluid management,2025,2020-2025,,0
NCT03323580,Effects of Intraoperative GDFT on the Postoperative Brain Edema,Beijing Tiantan Hospital,2018-11-26,Quantitative analysis of brain edema,2018,2015-2019,,0
NCT05626153,Anesthesia Quality Improvement and Patients With Planned ICU Admission,Peking University First Hospital,2023-02-01,Incidence of postoperative complication,2023,2020-2025,Postoperative complications,1
NCT03422354,"Effect of Ultrasound Guided L1,L2 Paravertebral Block in Decrease the Requirements for Hypotensive Drugs During General Anesthesia in Patients Undergoing Hip Surgeries.",Cairo University,2018-02-12,Dose of hypotensive drugs,2018,2015-2019,Hypotension exposure,1
NCT03566056,Early Recovery Outcomes After Standardized Fast-track Whipples Procedure,Eske Kvanner Aasvang,2018-01-18,"Hypotension, defined as mean arterial bloodpressure <65 mmHg, measured by invasive arterial blood-pressure, the first morning after surgery at 06.00 (AM)",2018,2015-2019,Hypotension exposure,1
NCT06510543,Goal-directed Enteral Nutritional Perioperative Management,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",2024-03-30,Rate of postoperative pulmonary complications | Rate of unplanned hospital admissions | Rate of unplanned ICU admission | Overall survival,2024,2020-2025,Mortality; Postoperative complications,2
NCT05263154,Goal-directed Low Oxygen During Anesthesia,Umeå University,2022-03-28,Mean change in arterial oxygen partial pressure after surgery vs. before surgery,2022,2020-2025,,0
NCT05806346,Goal-directed vs. Empirical Tranexamic Acid Administrationin Cardiovascular Surgery,Konkuk University Medical Center,2023-08-01,postoperative bleeding,2023,2020-2025,Blood loss / transfusion,1
NCT05283291,Directed Imagery Technique Applied to Patients Undergoing Lumbar Disc Herniation Surgery,TC Erciyes University,2022-02-08,Preoperative Anxiety Scale | Richards Campbell Sleep Scale | Visual Analog Scale (VAS),2022,2020-2025,,0
NCT07405333,Effect of Coughing Exercises Versus Incentive Spirometry on Respiratory Function and Recovery in Children After Cardiac Surgery.,University of Baghdad,2025-12-07,Respiratory Function Score.,2025,2020-2025,,0
NCT02996877,Outcomes of Surgically Ineligible Patients With Multivessel CAD,Saint Luke's Health System,2016-12-15,30 day survival following high risk percutaneous coronary revascularization who are at high risk.,2016,2015-2019,Mortality,1
NCT02312999,Crystalloids or Colloids for Goal-directed Fluid Therapy With Closed-loop Assistance in Major Surgery,Brugmann University Hospital,2015-02-24,POMS score,2015,2015-2019,,0
NCT04292951,Early Goal Directed Therapy in Cardiac Surgery,Khon Kaen University,2020-01-01,Number of inotropic/vaso active drugs requirement,2020,2020-2025,,0
NCT07075003,NOL-Guided vs Conventional Intraoperative Opioid Infusion on Outcomes in Geriatric Patients,Saglik Bilimleri Universitesi,2025-07,Total dose,2025,2020-2025,,0
