nct_id,brief_title,sponsor,start_date,primary_outcomes,start_year,period,outcome_categories,num_categories
NCT06769737,The Prolonging Effect of Dexmedetomidine on Spinal Anesthesia Through Different Routes if Administrations,King Abdulaziz Medical City,2025-03-01,Regression time of Bromage score from 3 to 0,2025,2020-2025,,0
NCT05283018,Relationship Between the Depth of Anesthesia and Auditory Evoked Potentials (P3a),Assistance Publique - Hôpitaux de Paris,2023-12,Duration of the P3a subcomponent of the P300 | P3a amplitude | P3a frequency | Depth of anesthesia,2023,2020-2025,Sedation / anesthesia depth,1
NCT03009643,Salvage Treatment of Inhaled Nitric Oxide in Patients With Refractory Hypoxemia After Aortic Surgery,Shanghai Zhongshan Hospital,2016-10,Mechanical ventilation time (days),2016,2015-2019,,0
NCT04266574,BRAIN-targeted Goal-directed Therapy in High-risk Patients undeRgOing Major electIve SurgEry: the BRAIN-PROMISE Study,Istituto Clinico Humanitas,2020-11-17,"The overall incidence of perioperative complications (including postoperative cognitive dysfunction and delirium). | Percentage of successful reversal of reduction in NIRS, according to the hemodynamic optimization protocol.",2020,2020-2025,Postoperative complications; Delirium / cognitive,2
NCT04585178,"Screening for Postoperative Vital Signs Abnormalities, and Particularly Hemodynamic Ones, by Continuous Monitoring Using the Biobeat Patch",Hopital Foch,2020-12-15,Proportion of patients with a hemodynamic abnormality using the data obtained using the Biobeat patch.,2020,2020-2025,,0
NCT06972485,Comparison of Hemodynamic Effects of Hypobaric and Hyperbaric Bupivacaine in Spinal Anesthesia in Geriatric Patients,Eskisehir Osmangazi University,2025-05-15,Hemodynamic effects of hypobaric and hyperbaric bupivacaine with spinal anesthesia,2025,2020-2025,,0
NCT05725135,Effect of Gender on Propofol Requirement,Sir Ganga Ram Hospital,2023-02-15,Cumulative Propofol consumption (mg/kg/h) during anaesthesia,2023,2020-2025,Sedation / anesthesia depth,1
NCT07070973,Proactive Hemodynamic Management During Cytoreductive Surgery and HIPEC,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,2025-09-01,TWA-MAP<65mmHg | TIT-SVI,2025,2020-2025,,0
NCT06294496,Study of Carotid Artery Stenosis Through the Integration of Multimodal Imaging and Computational Fluid Dynamics,Sichuan Provincial People's Hospital,2023-06-01,Perioperative cardio-cerebrovascular adverse events,2023,2020-2025,Postoperative complications,1
NCT05886231,The Effects of Instrumental Music on Intraoperative Parameters and Postoperative Pain and Side Effects,Yuzuncu Yil University,2020-03-02,heart rate | non invasive blood pressure | Pulse oxymeter | BIS (Bispektral index) | level of opioid | muscle relaxant,2020,2020-2025,Hypotension exposure; Cardiac outcomes; Pain; Sedation / anesthesia depth,4
NCT07388719,Comparison of Standard Versus Dynamic Compliance-Guided Individualized PEEP in Obese Patients Undergoing Spinal Surgery,Konya City Hospital,2025-02-02,Intraoperative Oxygenation (PaO₂/FiO₂ Ratio),2025,2020-2025,,0
NCT04604886,The Consistency of Cardiac Output Measured by Pulmonary Artery Catheter and LiDCO in Cardiac Surgical Patients,Shanghai Zhongshan Hospital,2020-09-30,Baseline Cardiac Output measurement | Cardiac Output measurement after PLR | Cardiac Output measurement after Dobutamine stress test,2020,2020-2025,Cardiac outcomes; Vasopressor / inotrope use,2
NCT03474224,Hemodynamic Optimization During Major Urological Surgery,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,2018-10-05,Correlation between the time-in target of MAP and the pCO2 gap at the end of surgery | Correlation between the time-in target of SV and the pCO2 gap at the end of surgery,2018,2015-2019,,0
NCT06513013,MgSO4 as Adjuvants to Bupivacaine vs Neostigmine in TAP Block in Cesarean Section,Assiut University,2023-12-20,comparasion of Postoperative NRS score for 24 hours between the two groups,2023,2020-2025,,0
NCT03776396,Perioperative Goal Directed Therapy in Kidney Transplantation,University of Catania,2016-05-05,Frequency rate of postoperative complications | Duration of hospitalization in a semi-intensive and intensive hospital ward.,2016,2015-2019,Length of stay; Postoperative complications,2
NCT02926144,Does McGRATH® MAC Videolaryngoscope Decrease the Number of People Required to Perform Intubation During Anesthesia ?,Hopital Foch,2016-11-28,Number of people needed for tracheal intubation when the video feature of McGRATH® MAC videolaryngoscope is available,2016,2015-2019,,0
